##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000177335.1	PRJNA224116	SAMN00002506	ADFP00000000.1	na	352165	638849	Pyramidobacter piscolens W5455	strain=W5455	na	latest	Contig	Major	Full	2009/12/30	ASM17733v1	J. Craig Venter Institute	GCA_000177335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/335/GCF_000177335.1_ASM17733v1	na	assembly from type material	na	haploid	bacteria	2562014	2562014	59.5	0	140	140	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	12/28/22	2478	2372	62	na
GCF_000177675.1	PRJNA224116	SAMN02441797	ADGX00000000.1	na	102897	102897	Parafrankia sp. EUN1f	strain=EUN1f	na	latest	Contig	Major	Full	2010/02/04	ASM17767v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000177675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/675/GCF_000177675.1_ASM17767v1	na	na	na	haploid	bacteria	9352740	9352740	70.5	0	396	396	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/26/22	8051	7593	61	na
GCF_000183445.1	PRJNA224116	SAMN00116779	AENT00000000.1	na	910314	309120	Dialister micraerophilus UPII 345-E	strain=UPII 345-E	na	latest	Contig	Major	Full	2010/12/01	ASM18344v1	J. Craig Venter Institute	GCA_000183445.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/445/GCF_000183445.1_ASM18344v1	na	na	na	haploid	bacteria	1395825	1395825	35.5	0	32	32	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	03/24/23	1352	1289	53	na
GCF_000185925.1	PRJNA224116	SAMN02469497	AEPN00000000.1	na	412597	412597	Paracoccus sp. TRP	strain=TRP	na	latest	Contig	Major	Full	2011/01/10	ASM18592v1	Graduate School, Chinese Academy of Agricultural Sciences (CAAS)	GCA_000185925.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/925/GCF_000185925.1_ASM18592v1	na	na	na	haploid	bacteria	3915186	3915186	62.5	0	119	119	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/26/22	3947	3800	54	21257769
GCF_000218765.1	PRJNA224116	SAMN02471911	AFCE00000000.1	na	986075	296745	Caldalkalibacillus thermarum TA2.A1	strain=TA2.A1	na	latest	Scaffold	Major	Full	2011/05/26	ASM21876v1	University of Otago	GCA_000218765.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/765/GCF_000218765.1_ASM21876v1	na	na	na	haploid	bacteria	2895463	2895422	47.5	0	251	251	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/12/23	3078	2844	100	21685297
GCF_000219125.1	PRJNA224116	SAMN02469409	AFGF00000000.1	representative genome	1009370	2374	Acetonema longum DSM 6540	strain=DSM 6540	na	latest	Scaffold	Major	Full	2011/06/22	ASM21912v1	California Institute of Technology	GCA_000219125.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/125/GCF_000219125.1_ASM21912v1	na	assembly from type material	na	haploid	bacteria	4323011	4323001	50.0	0	296	296	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/22/23	4174	4035	72	21673657
GCF_000220565.1	PRJNA224116	SAMN02470155	AFPM00000000.1	na	1042378	1042378	Oceanicola sp. S124	strain=S124	na	latest	Contig	Major	Full	2011/07/12	ASM22056v2	Korea Ocean Research and Development Institute	GCA_000220565.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/565/GCF_000220565.1_ASM22056v2	na	na	na	haploid	bacteria	4649474	4649474	67.0	0	339	339	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/08/22	4586	4376	48	23105065
GCF_000224515.1	PRJNA224116	SAMN02471585	AGAF00000000.1	na	913865	913865	Desulfosporosinus sp. OT	strain=OT	na	latest	Contig	Major	Full	2011/08/26	ASM22451v1	Asbach	GCA_000224515.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/515/GCF_000224515.1_ASM22451v1	na	na	na	haploid	bacteria	5702338	5702338	42.0	0	282	282	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	05/14/23	5813	5521	84	21994931
GCF_000225485.1	PRJNA224116	SAMD00015735	BABS00000000.1	na	749388	104102	Acetobacter tropicalis NBRC 101654	strain=NBRC 101654	na	latest	Contig	Major	Full	2011/06/28	ASM22548v1	Yamaguchi University	GCA_000225485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/485/GCF_000225485.1_ASM22548v1	na	na	na	haploid	bacteria	3718538	3718538	55.0	0	773	773	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/22/23	3478	3246	45	21554859
GCF_000239355.1	PRJNA224116	SAMN02299434	AGCM00000000.1	na	797473	194702	Cardiobacterium valvarum F0432	strain=F0432	na	latest	Scaffold	Major	Full	2011/12/21	ASM23935v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000239355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/355/GCF_000239355.1_ASM23935v1	na	na	na	haploid	bacteria	2553535	2547857	58.0	0	98	198	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	07/07/22	2685	2545	53	na
GCF_000245735.1	PRJNA224116	SAMN02470203	AHTH00000000.1	representative genome	1129374	545533	Alishewanella jeotgali KCTC 22429	strain=KCTC 22429	na	latest	Contig	Major	Full	2012/02/03	ASM24573v2	Department of Environmental Science and Ecological Engineering, Korea University	GCA_000245735.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/735/GCF_000245735.1_ASM24573v2	na	assembly from type material	na	haploid	bacteria	3831357	3831357	50.5	0	65	65	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/12/23	3610	3480	79	22461542
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000255705.1	PRJNA224116	SAMN02469381	AIAB00000000.1	representative genome	1123508	360055	Zavarzinella formosa DSM 19928	strain=DSM 19928	na	latest	Scaffold	Major	Full	2012/04/12	ASM25570v1	BGI-shenzhen	GCA_000255705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/705/GCF_000255705.1_ASM25570v1	na	assembly from type material	na	haploid	bacteria	10086423	9855884	59.0	0	105	594	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	09/25/22	8662	8422	86	22740668
GCF_000259215.1	PRJNA224116	SAMN02470884	AJRK00000000.1	na	1132509	332168	Halococcus hamelinensis 100A6	strain=100A6	na	latest	Contig	Major	Full	2012/04/18	ASM25921v1	School of Biotechnology and Biomolecular Sciences	GCA_000259215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/215/GCF_000259215.1_ASM25921v1	na	assembly from type material	na	haploid	archaea	3383679	3383679	65.0	0	453	453	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/12/23	3720	3503	51	22461544
GCF_000261485.1	PRJNA224116	SAMN02469481	AJQT00000000.1	na	716928	716925	Ensifer sojae CCBAU 05684	strain=CCBAU 05684	na	latest	Contig	Major	Full	2012/05/03	05684	China Agricultural University	GCA_000261485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/485/GCF_000261485.1_05684	na	assembly from type material	na	haploid	bacteria	5964336	5964336	62.0	0	231	231	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/24/23	5740	5417	54	22586130
GCF_000264455.2	PRJNA224116	SAMN02603926	na	representative genome	1110502	171437	Tistrella mobilis KA081020-065	strain=KA081020-065	na	latest	Complete Genome	Major	Full	2012/12/05	ASM26445v2	the Hong Kong University of Science and Technology	GCA_000264455.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/455/GCF_000264455.2_ASM26445v2	na	na	na	haploid	bacteria	6512983	6512983	68.0	5	5	5	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	11/26/22	5915	5761	70	22458477
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
GCF_000283095.1	PRJNA224116	SAMN02470948	ALIQ00000000.1	na	1211115	1211115	Chelatococcus sp. GW1	strain=GW1	na	latest	Contig	Major	Full	2012/07/30	GW1	Shanghai Jiao Tong University	GCA_000283095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/095/GCF_000283095.1_GW1	na	na	na	haploid	bacteria	5207049	5207049	68.5	0	247	247	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/17/22	5036	4873	53	na
